Formula,Ecuaci�n,Stock,Sistem�tica,Tradicional
H3PO4,P4O10 + 6H2O = 4H3PO4,Nomenclatura sistemática: tetraoxofosfato (V) de hidrógeno,Nomenclatura stock: ácido tetraoxofosfórico (V),Nomenclatura tradicional: ácido fosfórico
H2CO3,CO2 + H2O = H2CO3,Nomenclatura sistemática: trioxocarbonato (IV) de hidrógeno,Nomenclatura stock: ácido trioxocarbónico (IV),Nomenclatura tradicional: ácido carbónico
H4P2O7,P4O10 + 4H2O = 2H4P2O7,Nomenclatura sistemática: heptaoxodifosfato (V) de hidrógeno,Nomenclatura stock: ácido heptaoxodifosfórico (V),Nomenclatura tradicional: ácido pirofosfórico

Sc(OH)3,N/A,Nomenclatura sistemática: trihidróxido de escandio,Nomenclatura stock: hidróxido de escandio,Nomenclatura tradicional: hidróxido escándico
Ga(OH)3,N/A,Nomenclatura sistemática: trihidróxido de galio,Nomenclatura stock: hidróxido de galio,Nomenclatura tradicional: hidróxido gálico
Mn(OH)3,N/A,Nomenclatura sistemática: trihidróxido de manganeso,Nomenclatura stock: hidróxido de manganeso (III),Nomenclatura tradicional: hidróxido mangánico
NaOH,N/A,Nomenclatura sistemática: hidróxido de sodio,Nomenclatura stock: hidróxido de sodio,Nomenclatura tradicional: hidróxido sódico
Tl(OH)3,N/A,Nomenclatura sistemática: trihidróxido de talio,Nomenclatura stock: hidróxido de talio (III),Nomenclatura tradicional: hidróxido tálico
KOH,N/A,Nomenclatura sistemática: hidróxido de potasio,Nomenclatura stock: hidróxido de potasio,Nomenclatura tradicional: hidróxido potásico
Cd(OH)2,N/A,Nomenclatura sistemática: dihidróxido de cadmio,Nomenclatura stock: hidróxido de cadmio,Nomenclatura tradicional: hidróxido cádmico
U(OH)6,N/A,Nomenclatura sistemática: hexahidróxido de uranio,Nomenclatura stock: hidróxido de uranio (VI),Nomenclatura tradicional: hidróxido peruránico
RbOH,Rb2O + H2O = 2RbOH,Nomenclatura sistemática: hidróxido de rubidio,Nomenclatura stock: hidróxido de rubidio,Nomenclatura tradicional: hidróxido rubídico
CsOH,Cs2O + H2O = 2CsOH,Nomenclatura sistemática: hidróxido de cesio,Nomenclatura stock: hidróxido de cesio,Nomenclatura tradicional: hidróxido césico
Ta(OH)5,N/A,Nomenclatura sistemática: pentahidróxido de tántalo,Nomenclatura stock: hidróxido de tántalo (V),Tipo de compuesto: hidróxido
Pt(OH)4,N/A,Nomenclatura sistemática: tetrahidróxido de platino,Nomenclatura stock: hidróxido de platino (IV),Nomenclatura tradicional: hidróxido platínico

N2O3,2N2 + 3O2 = 2N2O3,Nomenclatura sistemática: trióxido de dinitrógeno,Nomenclatura stock: óxido de nitrógeno (III),Nomenclatura tradicional: anhídrido nitroso
MgO,N/A,Nomenclatura sistemática: monóxido de magnesio,Nomenclatura stock: óxido de magnesio,Nomenclatura tradicional: óxido magnésico
HgO,2Hg + O2 = 2HgO,Nomenclatura sistemática: monóxido de mercurio,Nomenclatura stock: óxido de mercurio (II),Nomenclatura tradicional: óxido mercúrico
PbO2,N/A,Nomenclatura sistemática: dióxido de plomo,Nomenclatura stock: óxido de plomo (IV),Nomenclatura tradicional: óxido plúmbico
Al2O3,N/A,Nomenclatura sistemática: trióxido de dialuminio,Nomenclatura stock: óxido de aluminio,Nomenclatura tradicional: óxido alumínico
Co2O3,3O2 + 4Co = 2Co2O3,Nomenclatura sistemática: trióxido de dicobalto,Nomenclatura stock: óxido de cobalto (III),Nomenclatura tradicional: óxido cobáltico
Ag2O,4Ag + O2 = 2Ag2O,Nomenclatura sistemática: monóxido de diplata,Nomenclatura stock: óxido de plata,Nomenclatura tradicional: óxido argéntico
Fe2O3,4FeO + O2 = 2Fe2O3,Nomenclatura sistemática: trióxido de dihierro,Nomenclatura stock: óxido de hierro (III),Nomenclatura tradicional: óxido férrico
CrO3,2Cr + 3O2 = 2CrO3,Nomenclatura sistemática: trióxido de cromo,Nomenclatura stock: óxido de cromo (VI),Nomenclatura tradicional: anhídrido crómico
Anhídridos (no metal + oxígeno),N/A,N/A,N/A,N/A
Bi2O5,4Bi + 5O2 = 2Bi2O5,Nomenclatura sistemática: pentaóxido de dibismuto,Nomenclatura stock: óxido de bismuto (V),Nomenclatura tradicional: óxido bismútico
